title,url,text,category,answer
Alexis Texas,https://cs.wikipedia.org//wiki/Alexis_Texas,"Alexis Texas. vlastním jménem Thea Alexis Samper (* 25. května 1985 Panama) je americká pornoherečka, režisérka. Dříve také vystupovala jako tanečnice.
",Pornoherečky usa,Pornoherečka.
Michal Palinek,https://cs.wikipedia.org//wiki/Michal_Palinek,"
",Olympionici cz,Podnikatel.
Aneta Hladíková,https://cs.wikipedia.org//wiki/Aneta_Hlad%C3%ADkov%C3%A1,"3. místo – Mistrovství Evropy 2015 v Baku
",Olympionici cz,Sportovkyně
Petr Koukal (badmintonista),https://cs.wikipedia.org//wiki/Petr_Koukal_(badmintonista),"Petr Koukal (* 14. prosince 1985 Hořovice) je český badmintonový hráč. Je devítinásobným mistrem České republiky z let 2007 až 2016.[5][6] Pouze v roce 2012 prohrál na mistrovství České republiky s Janem Frolichem ve třech setech. V letech 2009–2014 působil v brněnském klubu TJ Sokol Jehnice.[7][8]
",Olympionici cz,Badmintonista
Giuseppe Terragni,https://cs.wikipedia.org/wiki/Giuseppe_Terragni,"Giuseppe Terragni (15. dubna 1904, Meda - 19. července 1943, Como) byl italský architekt, pokládaný za představitele italského racionalismu. Jeho dílo bylo spojeno s italským fašismem.[1]
",Italští architekti,Architekt
Karel Čech (pěvec),https://cs.wikipedia.org//wiki/Karel_%C4%8Cech_(p%C4%9Bvec),"Karel Čech (vlastním jménem Karel Antonín Tausík, 9. května 1844 Prčice – 28. listopadu 1913 Královské Vinohrady)[2] byl český koncertní a operní pěvec, bas. Jakožto pěvec se v Prozatímním a posléze v Národním divadle v Praze podílel na premiérovém uvedení několika oper Bedřicha Smetany. Jeho starším bratrem byl dlouholetý dirigent orchestru Národního divadla Adolf Čech.
",Operní pěvci cz,Pěvec.
Johannes Tomasoni de Concordia,https://cs.wikipedia.org/wiki/Johannes_Tomasoni_de_Concordia,"Johannes Tomasoni de Concordia (též italsky Giovanni Tomasoni de Concordia, 8. října 1724 Praha – 1765 Vídeň) byl původem italský voják, matematik, univerzitní pedagog a vojenský architekt narozený a působící v Habsburské monarchii.
",Italští architekti,Voják.
Pierre-Louis Lions,https://cs.wikipedia.org//wiki/Pierre-Louis_Lions,"Pierre-Louis Lions (* 11. srpna 1956 v Grasse) je francouzský matematik. Jeho otcem byl Jacques-Louis Lions, matematik, v té době profesor na Univerzitě v Nancy, který se posléze stal mimo jiné prezidentem Mezinárodní matematické unie (IMU). Doktorát obdržel na Univerzitě Pierra a Marie Curie v roce 1979.
",Matematičtí analytici,Matematik.
Rudolf Horský (husitský kněz),https://cs.wikipedia.org/wiki/Rudolf_Horsk%C3%BD_(husitsk%C3%BD_kn%C4%9Bz),"Rudolf Horský, původním jménem Rudolf Hovádek (4. prosince 1914 Vamberk – 4. srpna 2001 Praha), byl český teolog, katecheta, duchovní a biskup Církve československé husitské, profesor a děkan Husovy československé bohoslovecké fakulty v Praze.
",Teologové CZ,Duchovní
Emil Novák,https://cs.wikipedia.org//wiki/Emil_Nov%C3%A1k,"Emil Novák (* 12. dubna 1989 Zábřeh) je bývalý český snowboardista, který závodil ve snowboardcrossu v letech 2006–2015.
",Olympionici cz,Snowboardista
Dominik Turza,https://cs.wikipedia.org/wiki/Dominik_Turza,"Dominik Turza (Dj Roxtar) (* 9. března 1983, Praha) je český DJ, herec a moderátor.
",Moderátoři CZ,DJ
Jan Smetana (moderátor),https://cs.wikipedia.org/wiki/Jan_Smetana_(moder%C3%A1tor),"Jan Smetana (* 25. března 1982 Praha) je český moderátor, televizní sportovní komentátor a reportér, od dubna 2012 moderátor pořadu Branky, body, vteřiny, hlavní sportovní zpravodajské relace ČT.
",Moderátoři CZ,Moderátor.
Roman Červenka,https://cs.wikipedia.org//wiki/Roman_%C4%8Cervenka,"Roman Červenka (* 10. prosince 1985 Praha) je český hokejový útočník působící v klubu HC Dynamo Pardubice v Tipsport extralize. Je dvojnásobným mistrem světa z let 2010 a 2024 a od roku 2022 kapitánem českého reprezentačního týmu. Žurnalista Daniel Sallows z Bleacher Report jej v roce 2009 označil jako sedmého nejlepšího hokejistu mimo NHL.[4]
",Olympionici cz,Hokejista
Milan Michálek,https://cs.wikipedia.org//wiki/Milan_Mich%C3%A1lek,"Milan Michálek (* 7. prosince 1984, Jindřichův Hradec) je bývalý český hokejový útočník, odchovanec Jindřichova Hradce a bratr hokejisty Zbyňka Michálka.
",Olympionici cz,Hokejista
Karel Kalaš,https://cs.wikipedia.org//wiki/Karel_Kala%C5%A1,"Karel Kalaš (9. října 1910 Vídeň – 3. května 2001 Praha) byl operní pěvec, sólista opery Národního divadla v Praze.
",Operní pěvci cz,Pěvec
Carlo Maderno,https://cs.wikipedia.org/wiki/Carlo_Maderno,"Carlo Maderno (1556, Capolago – 30. ledna 1629, Řím) byl italský (někdy uváděný jako lombardský) architekt, který je považován za jednoho ze zakladatelů barokní architektury. Jeho fasády kostelů Santa Susanna, sv. Petra a Sant'Andrea della Valle byly klíčové pro vývoj italského baroka.
",Italští architekti,Architekt.
Petr Sommer,https://cs.wikipedia.org/wiki/Petr_Sommer,"Petr Sommer (30. listopadu 1949 Rakovník –⁠ 12. srpna 2023[1][2], Praha) byl český historik a archeolog, ředitel Centra medievistických studií Akademie věd České republiky a Univerzity Karlovy v Praze. Odborně se zabýval církevní archeologií a středověkou duchovní kulturou.
",Historikové CZ,Historik
Jana Pechanová,https://cs.wikipedia.org//wiki/Jana_Pechanov%C3%A1,"Jana Pechanová (* 3. března 1981 Rakovník) je česká dálková plavkyně. Dne 20. srpna 2008 se na olympijských hrách v Pekingu zúčastnila závodu na deset kilometrů, ve kterém obsadila 8. místo.[1] Jednalo se o první závod tohoto typu na olympijských hrách v historii. Během své kariéry získala také čtyři medaile na mistrovství Evropy a jednu medaili na mistrovství světa.
",Olympionici cz,Plavkyně.
Jan Ježek,https://cs.wikipedia.org//wiki/Jan_Je%C5%BEek,"Jan Ježek (* 12. října 1957 Sokolov) je český operní pěvec a operetní a muzikálový herec a zpěvák.
",Operní pěvci cz,Pěvec
Eunice Newtonová Footová,https://cs.wikipedia.org//wiki/Eunice_Newtonov%C3%A1_Footov%C3%A1,"Eunice Newtonová Footová (nepřechýleně Eunice Newton Foote, 17. července 1819 – 30. září 1888)[1] byla americká vědkyně, vynálezkyně a bojovnice za práva žen. Jako vůbec první poukázala na fakt, že změna podílu oxidu uhličitého v atmosféře vede ke změně její teploty.[2][3] Popsala to ve své práci Circumstances affecting the heat of the sun's rays na konferenci American Association for the Advancement of Science v roce 1856.[4] Protože ženám v té době nebylo na konferencích Asociace dovoleno přednášet, odprezentoval za ni její práci Joseph Henry ze Smithsonova institutu. Zároveň, ačkoliv její experimenty jasně nerozlišovaly mezi efektem dopadajícího slunečního záření a dlouhovlnného infračerveného, objevila příčinu skleníkového efektu.[5] Je označována za vůbec první Američanku, která publikovala odbornou fyzikální
práci.[6]
",Fyzikové,Vědkyně
Tomáš Fleischmann,https://cs.wikipedia.org//wiki/Tom%C3%A1%C5%A1_Fleischmann,"Tomáš Fleischmann (* 16. května 1984, Kopřivnice) je bývalý český hokejový útočník.
",Olympionici cz,Hokejista
Přemek Podlaha,https://cs.wikipedia.org/wiki/P%C5%99emek_Podlaha,"Přemek Podlaha[pozn. 1] (13. června 1938 Praha – 23. prosince 2014 Čerčany) byl český moderátor a publicista.
",Moderátoři CZ,Moderátor
René Tuček,https://cs.wikipedia.org//wiki/Ren%C3%A9_Tu%C4%8Dek,"René Tuček (8. ledna 1936 Praha – 26. srpna 2017 Mariánské Lázně) byl český operní pěvec (baryton) a pedagog na HAMU.
",Operní pěvci cz,Pěvec
Ondřej Raab,https://cs.wikipedia.org//wiki/Ond%C5%99ej_Raab,"Ondřej Raab (* 20. června 1973 Jablonec nad Nisou) je bývalý český vodní slalomář, kajakář závodící v kategorii K1.
",Olympionici cz,Kajakář
Richard Adam,https://cs.wikipedia.org//wiki/Richard_Adam,"Richard Adam (14. listopadu 1930 Praha-Hlubočepy – 14. října 2017 Praha[1]) byl český zpěvák, jedna z někdejších velkých hvězd českého swingu 50. let 20. století, bratranec české herečky Jaroslavy Adamové. 
",Pop. zpěváci,Zpěvák
Alfred Strejček,https://cs.wikipedia.org/wiki/Alfred_Strej%C4%8Dek,"Alfred Strejček (* 24. listopadu 1941 Praha) je český divadelní a filmový herec, moderátor a recitátor.
",Moderátoři CZ,Herec
Jaroslav Kameš,https://cs.wikipedia.org//wiki/Jaroslav_Kame%C5%A1,"Jaroslav Kameš (* 14. srpna 1969 Kladno) je bývalý český hokejový brankář.
",Olympionici cz,Hokejista
Audrey Bitoni,https://cs.wikipedia.org//wiki/Audrey_Bitoni,"Audrey Bitoni (* 16. srpna 1986 Pasadena, Kalifornie, USA) je americká pornografická herečka italského původu.
",Pornoherečky usa,Herečka
Jakub Kovář,https://cs.wikipedia.org//wiki/Jakub_Kov%C3%A1%C5%99,"Jakub Kovář (* 19. července 1988 Písek) je český hokejový brankář, který chytá za klub HC Sparta Praha. Jeho o dva roky mladší bratr Jan je rovněž profesionálním hokejistou.
",Olympionici cz,Hokejista
Emanuel Fait,https://cs.wikipedia.org/wiki/Emanuel_Fait,"Emanuel Fait (18. července 1854 Beroun[1] – 20. listopadu 1929 Praha[2]) byl český pedagog a cestovatel.
",Cestovatelé CZ,Pedagog
Marie Nováková (podnikatelka),https://cs.wikipedia.org//wiki/Marie_Nov%C3%A1kov%C3%A1_(podnikatelka),"Marie Nováková je česká podnikatelka v oblasti realit a matka Martina Dvořáka.
",Podnikatelky cz,Realitní
